OCC,mission,region,island,site,year,lat,long,zone,depth,calcifiers,coral,cca,macroalgae,encrusting,halimeda,softcoral,turf,sediment,invertebrate,siteG,siteG_lwr,siteG_upr,islandB,islandB_lwr,islandB_upr,G,G_lwr,G_upr,dnta,dnta_lwr,dnta_upr,BCC,CDP,CVI,DHW_2014,DHW_2015,DHW_2016,DHW_2017,last_year_bleached,maxDHW,bleaching
OCC-GUA-002,HA1701,MARIAN,Guam,GUA-00023,2017,13.60334,144.92366,Forereef,Mid,13.356164387000002,11.64383562,1.712328767,2.397260274,1.369863014,1.369863014,0,81.50684932,0,0,1.11356164373985,0.9284931506191498,1.3251027395942498,0.0861025530186213,0.0454724865666535,0.126732619470589,1.0705103672305392,0.8651268408838553,1.3023664963109232,13.679203535471819,4.716249961326412,23.81233940678385,positive,positive,positive,3.60999991931021,1.01999997720122,4.4199999012053,8.13999981805682,2017,8.13999981805682,severe
OCC-GUA-005,HA1701,MARIAN,Guam,GUA-00022,2017,13.4752,144.8649,Forereef,Mid,7.216494845,6.18556701,1.030927835,3.780068729,0.343642612,1.030927835,0.343642612,86.25429553,1.030927835,0,0.29932989681269995,0.18950171814579994,0.4256185565735,0.0861025530186213,0.0454724865666535,0.126732619470589,0.2562786203033893,0.12613540841050544,0.40288231329017327,21.829419988390214,11.092811038180116,37.11233940678403,positive,positive,positive,3.53999992087483,1.18999997340143,4.09999990835786,8.84999980218709,2017,8.84999980218709,severe
OCC-GUA-007,HA1701,MARIAN,Guam,GUA-00013,2017,13.29149,144.76768,Forereef,Mid,10.06944444,10.06944444,0,14.23611111,0.347222222,0,0,75.34722222,0,0,0.9050173610549999,0.7271006944095999,1.114045138812,0.0861025530186213,0.0454724865666535,0.126732619470589,0.8619660845456892,0.6637343846743053,1.0913088955286734,12.467415388883714,9.706735789266531,15.045291555058157,positive,positive,positive,3.93999991193414,1.46999996714294,4.36999990232289,9.83999978005886,2017,9.83999978005886,severe
OCC-GUA-009,HA1701,MARIAN,Guam,GUA-00021,2017,13.24121,144.70448,Forereef,Mid,7.508532423,7.508532423,0,28.66894198,0.682593857,2.04778157,0,59.38566553,1.365187713,0.341296928,1.0579522184433001,0.9164163822638002,1.2148464163990003,0.0861025530186213,0.0454724865666535,0.126732619470589,1.0149009419339894,0.8530500725285057,1.1921101731156736,14.886635410963615,0.8069023247867335,33.95446285737626,positive,positive,positive,4.019999910146,1.4899999666959,4.43999990075827,10.509999765083201,2017,10.509999765083201,severe
OCC-GUA-012,HA1701,MARIAN,Guam,GUA-00012,2017,13.4488,144.62593,Forereef,Mid,6.6202090590000005,4.529616725,2.090592334,2.787456446,3.832752613,29.61672474,0,55.40069686,1.742160279,0,0.25736933791315,0.19541811840845003,0.32716027867115005,0.0861025530186213,0.0454724865666535,0.126732619470589,0.21431806140383933,0.13205180867315552,0.3044240353878233,29.655046350311142,25.543551971882152,33.505049401976066,positive,positive,positive,3.83999991416931,0.459999989718199,5.0499998871237,10.5299997646362,2017,10.5299997646362,severe
OCC-GUA-015,HA1701,MARIAN,Guam,GUA-00020,2017,13.52896,144.80035,Forereef,Mid,32.64604811,32.64604811,0,2.749140893,0,6.529209622,0,58.07560137,0,0,1.9751030925864999,1.5980240548085998,2.4326632300155997,0.0861025530186213,0.0454724865666535,0.126732619470589,1.9320518160771891,1.5346577450733052,2.409926986732273,38.36565495911444,12.563809735565883,67.20353790755371,positive,positive,positive,3.4999999217689,0.809999981895089,4.56999989785254,8.97999979928136,2017,8.97999979928136,severe
OCC-PAG-002,HA1701,MARIAN,Pagan,PAG-00021,2017,18.16788,145.79494,Forereef,Mid,11.262798635,9.897610922,1.365187713,2.730375427,0.341296928,7.508532423,0.341296928,77.1331058,0.341296928,0.341296928,0.09044368591794993,0.01829351527284995,0.18174061424444998,0.55217150655383,0.271300504430489,0.833042508677171,-0.18564206735896505,-0.39822773906573555,0.046090362029205495,2.910927444856194,-1.9142935832742296,8.357234779356531,neutral,neutral,neutral,9.9299997780472,0,4.88999989069998,8.27999981492758,2017,9.9299997780472,severe
OCC-PAG-006,HA1701,MARIAN,Pagan,PAG-00013,2017,18.09609,145.76488,Forereef,Mid,8.041958042,8.041958042,0,8.741258741,4.195804196,3.496503497,0.34965035,74.82517483,0.34965035,0,0.28150349646739997,0.1845804195478,0.394685314647,0.55217150655383,0.271300504430489,0.833042508677171,0.0054177431904849915,-0.2319408347907855,0.25903506243175556,-0.3847436251808176,-4.644419882615239,3.573785312863947,neutral,neutral,neutral,9.18999979458749,0,4.80999989248812,7.98999982140958,2017,9.18999979458749,severe
OCC-PAG-009,HA1701,MARIAN,Pagan,PAG-00020,2017,18.04561,145.70621,Forereef,Mid,10.526315789,9.907120743,0.619195046,3.405572755,2.786377709,0.619195046,0.309597523,79.87616099,2.476780186,0,0.3007739936043,0.19365325060250002,0.43089783257620007,0.55217150655383,0.271300504430489,0.833042508677171,0.024688240327385036,-0.22286800373608548,0.29524758036095555,-1.6451203467699618,-5.5746382284173706,2.1379289401315873,neutral,neutral,neutral,9.42999978922307,0,4.75999989360571,8.01999982073903,2017,9.42999978922307,severe
OCC-PAG-011,HA1701,MARIAN,Pagan,PAG-00023,2017,18.09754886,145.7510026,Forereef,Mid,17.891373798,17.57188498,0.319488818,3.514376997,3.833865815,0,0,73.80191693,0.319488818,0.638977636,1.2640734826362001,1.0525399362830001,1.5054472845844002,0.55217150655383,0.271300504430489,0.833042508677171,0.9879877293592851,0.6360186819444147,1.3697970323691557,2.072592153220588,0.37867553077649063,3.6509824328963987,positive,positive,positive,9.18999979458749,0,4.80999989248812,7.98999982140958,2017,9.18999979458749,severe
